avatarThumbnail,cid,createTime,createTimeISO,diggCount,repliesToId,replyCommentTotal,submittedVideoUrl,text,uid,uniqueId,videoWebUrl
https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/1c41f9ea32b2aa73b56588f9eabfc18f.jpg?lk3s=30310797&nonce=69167&refresh_token=e46334e98e431dc715f75351c5441406&x-expires=1739354400&x-signature=S6bOs0Oh7JH8scu6GADAUDs%2FBUY%3D&shp=30310797&shcp=-,7.44E+18,1732791808,2024-11-28T11:03:28.000Z,0,,1,https://www.tiktok.com/@kokocuan_/video/7436729084920581394?_r=1&_t=8rN2DPKEHOC,𝗺𝗮𝘀𝗴𝗮𝗽𝗶𝗻𝗻𝗻🚀🚀,7.30E+18,rtc.pro.audio,https://www.tiktok.com/@kokocuan_/video/7436729084920581394
https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/7336094401921286177~c5_100x100.jpg?lk3s=30310797&nonce=22164&refresh_token=29d3df5ccca84a17a804703d3a9bd6ca&x-expires=1739354400&x-signature=h2oRWAFwntqonlxaHg0A13OnTzI%3D&shp=30310797&shcp=-,7.44E+18,1732797107,2024-11-28T12:31:47.000Z,0,7.44E+18,,https://www.tiktok.com/@kokocuan_/video/7436729084920581394?_r=1&_t=8rN2DPKEHOC,..-..,6.83E+18,kokocuan_,https://www.tiktok.com/@kokocuan_/video/7436729084920581394
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b27cfea6b2a18f246022d14d895b7ab2~c5_100x100.jpg?lk3s=30310797&nonce=72097&refresh_token=d89b78de6ab5eb962da8d458b03f47f2&x-expires=1739354400&x-signature=ume6o47kEHfYTACOXSdi9fvIgjQ%3D&shp=30310797&shcp=-,7.44E+18,1733044210,2024-12-01T09:10:10.000Z,0,,1,https://www.tiktok.com/@kokocuan_/video/7436729084920581394?_r=1&_t=8rN2DPKEHOC,Thanksgiving,7.26E+18,p4d1l_amazing,https://www.tiktok.com/@kokocuan_/video/7436729084920581394
https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/7336094401921286177~c5_100x100.jpg?lk3s=30310797&nonce=22164&refresh_token=29d3df5ccca84a17a804703d3a9bd6ca&x-expires=1739354400&x-signature=h2oRWAFwntqonlxaHg0A13OnTzI%3D&shp=30310797&shcp=-,7.44E+18,1733044692,2024-12-01T09:18:12.000Z,0,7.44E+18,,https://www.tiktok.com/@kokocuan_/video/7436729084920581394?_r=1&_t=8rN2DPKEHOC,Maksudnya gimana .-.,6.83E+18,kokocuan_,https://www.tiktok.com/@kokocuan_/video/7436729084920581394
https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/46de159354ae7177d18868228042221a.jpg?lk3s=30310797&nonce=49547&refresh_token=e6b437382d7fde2239f5cc13c56c43fc&x-expires=1739354400&x-signature=fhU3tkzhT7Xv4VC6ng%2BtaY9B3IE%3D&shp=30310797&shcp=-,7.44E+18,1732325457,2024-11-23T01:30:57.000Z,2,,1,https://www.tiktok.com/@kokocuan_/video/7436729084920581394?_r=1&_t=8rN2DPKEHOC,happy,7.31E+18,iniabngdeck,https://www.tiktok.com/@kokocuan_/video/7436729084920581394
https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/7336094401921286177~c5_100x100.jpg?lk3s=30310797&nonce=22164&refresh_token=29d3df5ccca84a17a804703d3a9bd6ca&x-expires=1739354400&x-signature=h2oRWAFwntqonlxaHg0A13OnTzI%3D&shp=30310797&shcp=-,7.44E+18,1732381863,2024-11-23T17:11:03.000Z,0,7.44E+18,,https://www.tiktok.com/@kokocuan_/video/7436729084920581394?_r=1&_t=8rN2DPKEHOC,Yayaya..,6.83E+18,kokocuan_,https://www.tiktok.com/@kokocuan_/video/7436729084920581394
https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/22239758600fb6d4b7493bb4e38fad7f.jpg?lk3s=30310797&nonce=12899&refresh_token=859a1ef5da72a30983ab0da3c4137110&x-expires=1739354400&x-signature=0ACPlAPzVVG9PW39VtEhdAbU%2BNA%3D&shp=30310797&shcp=-,7.44E+18,1733043317,2024-12-01T08:55:17.000Z,0,,1,https://www.tiktok.com/@kokocuan_/video/7436729084920581394?_r=1&_t=8rN2DPKEHOC,thanksgiving,7.42E+18,kfirzz_,https://www.tiktok.com/@kokocuan_/video/7436729084920581394
https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/7336094401921286177~c5_100x100.jpg?lk3s=30310797&nonce=22164&refresh_token=29d3df5ccca84a17a804703d3a9bd6ca&x-expires=1739354400&x-signature=h2oRWAFwntqonlxaHg0A13OnTzI%3D&shp=30310797&shcp=-,7.44E+18,1733044761,2024-12-01T09:19:21.000Z,0,7.44E+18,,https://www.tiktok.com/@kokocuan_/video/7436729084920581394?_r=1&_t=8rN2DPKEHOC,Maksudnya apakah .-.,6.83E+18,kokocuan_,https://www.tiktok.com/@kokocuan_/video/7436729084920581394
https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/7065638474736467994~c5_100x100.jpg?lk3s=30310797&nonce=33884&refresh_token=57edf61db7893212a74c9ca4ae890a45&x-expires=1739354400&x-signature=%2BtwQwhXE218k1NqimwKBL8eJhxg%3D&shp=30310797&shcp=-,7.44E+18,1733126072,2024-12-02T07:54:32.000Z,0,,0,https://www.tiktok.com/@kokocuan_/video/7436729084920581394?_r=1&_t=8rN2DPKEHOC,thanksgiving,6.94E+18,itohfahri3,https://www.tiktok.com/@kokocuan_/video/7436729084920581394
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7263404258599239686~c5_100x100.jpg?lk3s=30310797&nonce=53769&refresh_token=b6120ff7364fb031ee82f21b66785944&x-expires=1739354400&x-signature=xLyrnWOQBWptypKz91TRkXp5kcs%3D&shp=30310797&shcp=-,7.44E+18,1733041401,2024-12-01T08:23:21.000Z,0,,0,https://www.tiktok.com/@kokocuan_/video/7436729084920581394?_r=1&_t=8rN2DPKEHOC,thanksgiving,7.26E+18,fadilawabin,https://www.tiktok.com/@kokocuan_/video/7436729084920581394
https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/377dc6f4cfb62a8a24c63e58c99a49a0.jpg?lk3s=30310797&nonce=32638&refresh_token=186130295141f5567e8f9329e3a44a28&x-expires=1739354400&x-signature=LStMaXk0HNjSyCYEYrLTNG5QCqY%3D&shp=30310797&shcp=-,7.44E+18,1733015987,2024-12-01T01:19:47.000Z,0,,0,https://www.tiktok.com/@kokocuan_/video/7436729084920581394?_r=1&_t=8rN2DPKEHOC,thanksgiving,7.44E+18,cahsenengmajlis,https://www.tiktok.com/@kokocuan_/video/7436729084920581394
https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/f3d5957e68caf2a057e3d4f2bf05326d.jpg?lk3s=30310797&nonce=84922&refresh_token=e36b122190cfbb66aeae5ebfb1e1e90c&x-expires=1739354400&x-signature=Fb0%2F0hV9kbhSk1NR9qrdf5UYkso%3D&shp=30310797&shcp=-,7.44E+18,1732709264,2024-11-27T12:07:44.000Z,107,,10,https://www.tiktok.com/@kokocuan_/video/7436729084920581394?_r=1&_t=8rN2DPKEHOC,gw kira mau iklan cat,7.43E+18,iaz.moon,https://www.tiktok.com/@kokocuan_/video/7436729084920581394
https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/7336094401921286177~c5_100x100.jpg?lk3s=30310797&nonce=22164&refresh_token=29d3df5ccca84a17a804703d3a9bd6ca&x-expires=1739354400&x-signature=h2oRWAFwntqonlxaHg0A13OnTzI%3D&shp=30310797&shcp=-,7.44E+18,1732728523,2024-11-27T17:28:43.000Z,3,7.44E+18,,https://www.tiktok.com/@kokocuan_/video/7436729084920581394?_r=1&_t=8rN2DPKEHOC,Yeeee kena 😛,6.83E+18,kokocuan_,https://www.tiktok.com/@kokocuan_/video/7436729084920581394
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/58a210f9da6ef43dd122ceebbd19919d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&nonce=31642&refresh_token=b0e0e852486cddfe7a5d559a0a846518&x-expires=1739354400&x-signature=xFVIFaJ67toA6bbkDlo5k2dqcrA%3D&idc=useast8&ps=13740610&shcp=ff37627b&shp=30310797&t=4d5b0474,7.44E+18,1731499368,2024-11-13T12:02:48.000Z,74,,1,https://www.tiktok.com/@kokocuan_/video/7436729084920581394?_r=1&_t=8rN2DPKEHOC,gokil si Koko udh dapet endorsan woy. 😁😁😁 keren,7.32E+18,ceocepiritbrutal,https://www.tiktok.com/@kokocuan_/video/7436729084920581394
https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/7336094401921286177~c5_100x100.jpg?lk3s=30310797&nonce=22164&refresh_token=29d3df5ccca84a17a804703d3a9bd6ca&x-expires=1739354400&x-signature=h2oRWAFwntqonlxaHg0A13OnTzI%3D&shp=30310797&shcp=-,7.44E+18,1731531435,2024-11-13T20:57:15.000Z,3,7.44E+18,,https://www.tiktok.com/@kokocuan_/video/7436729084920581394?_r=1&_t=8rN2DPKEHOC,Wehehehe 🥹,6.83E+18,kokocuan_,https://www.tiktok.com/@kokocuan_/video/7436729084920581394
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/68604eb1b5d304b1604616d247a8415c~c5_100x100.jpg?lk3s=30310797&nonce=41717&refresh_token=f2b35aa3759050bc6d52c48f66467e10&x-expires=1739354400&x-signature=BTkuhsO7QzAkrot8MaiRXTJ9Pxk%3D&shp=30310797&shcp=-,7.44E+18,1733033482,2024-12-01T06:11:22.000Z,6,,5,https://www.tiktok.com/@kokocuan_/video/7436729084920581394?_r=1&_t=8rN2DPKEHOC,itu salah bang bikinnya 😁,7.15E+18,masarya72,https://www.tiktok.com/@kokocuan_/video/7436729084920581394
